Reference,Value,Footprint,myMANUFACTURER,myMPN
C2,0.1u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0603ZRY5V9BB104
C3,1u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0603ZRY5V6BB105
C4,1u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0603ZRY5V6BB105
C5,10u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0805ZKY5V6BB106
C6,0.1u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0603ZRY5V9BB104
C7,0.1u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0603ZRY5V9BB104
C9,18p F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,Johanson Technology Inc.,QSCP251Q180J1GV001T
C10,18p F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,Johanson Technology Inc.,QSCP251Q180J1GV001T
C11,1u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0603ZRY5V6BB105
C12,0.1u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0603ZRY5V9BB104
C13,0.1u F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,YAGEO,CC0603ZRY5V9BB104
C14,1 pF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,Johanson Technology Inc.,QSCF500Q1R0B1GV001T
C15,0.8p F,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,Johanson Technology Inc.,QLCD250Q0R8B1GV001T
C16,1.5pF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,Johanson Technology Inc.,QSCF500Q1R5B1GV001T
D1,D_TVS,Diode_SMD:D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,Texas Instruments,ESD441DPLR
J2,Conn_01x14,myESP32_library:14-PIN-right,TE Connectivity AMP Connectors,644960-1
J3,Conn_01x12,myESP32_library:12-PIN,TE Connectivity AMP Connectors ,644180-1
J4,Conn_01x14,myESP32_library:14-PIN-left,TE Connectivity AMP Connectors,644960-1
L2,2n H,Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,,
L3,2.2n H,Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,Johanson Technology Inc.,LRC0402CS2N2GV001T
L4,3.9nH,Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,Johanson Technology Inc.,LRC0402CS3N9GV001T 
U1,ESP32-S3,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,Espressif Systems,ESP32-S3
U2,W25Q128JVS,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,Winbond Electronics,W25Q128JVEIQ
U3,2450AT18A100E,chip:XCVR_2450AT18A0100001E,Johanson Technology Inc.,2450AT18A0100001E
Y1,Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,,
